game,crash,bank
915035,1.76,-37.15
915036,1.3,100.27
915037,2.0,-75.57
915038,2.0,-75.25
915039,1.86,-46.85
915040,1.15,190.51
915041,1.42,53.1
915042,2.0,-42.1
915043,2.0,-84.45
915044,2.0,-54.31
915045,1.64,-7.52
915046,1.05,182.76
915047,2.0,-79.69
915048,1.24,100.93
915049,2.0,-48.51
915050,2.0,-54.25
915051,1.08,165.01
915052,2.0,-10.13
915053,1.02,298.77
915054,2.0,-86.07
915055,2.0,-99.15
915056,1.62,-19.6
915057,1.18,144.05
915058,2.0,-79.51
915059,2.0,-42.64
915060,1.05,232.42
915061,2.0,-47.28
915062,2.0,-70.47
915063,1.0,217.19
915064,1.36,48.29
915065,1.06,235.32
915066,2.0,-94.85
915067,1.07,189.93
915068,2.0,-170.6
915069,1.31,41.6
915070,1.6,-0.02
915071,1.15,232.28
915072,2.0,-182.1
915073,2.0,-78.38
915074,2.0,-69.38
915075,1.12,118.07
915076,2.0,-35.05
915077,1.78,-77.8
915078,2.0,-57.58
915079,2.0,-46.36
915080,1.24,84.77
915081,1.26,59.79
915082,2.0,-71.18
915083,2.0,-42.64
915084,2.0,-32.1
915084,2.0,-32.1
915085,2.0,-52.34
915086,1.58,20.56
915087,2.0,-27.76
915088,1.31,43.11
915089,2.0,-63.93
915090,1.0,211.3
915091,2.0,-158.98
915092,2.0,-86.61
915093,1.12,185.18
915094,1.24,60.12
915095,2.0,-97.38
915096,1.0,210.95
915097,2.0,-80.31
915098,1.18,158.05
915099,2.0,-118.81
915100,1.41,182.9
915101,2.0,-146.18
915102,1.26,14.78
915103,1.79,-26.06
915104,1.27,132.42
915105,1.13,297.68
915105,1.13,297.68
915106,1.01,338.91
915107,1.0,467.42
915108,1.35,111.99
915109,2.0,-166.36
915110,1.41,15.14
915111,2.0,-50.27
915112,1.25,63.62
915112,1.25,63.62
915113,2.0,-57.84
915114,1.5,-26.94
915115,2.0,-49.6
915116,2.0,-37.43
915117,2.0,-60.09
915118,1.2,38.71
915119,2.0,-35.87
915120,1.7,-31.2
915121,2.0,-52.68
915122,2.0,-64.58
915123,1.03,208.22
915124,2.0,-50.61
915125,2.0,-66.4
